Grupa;Kosinusna slicnost
Stvarni parovi;0,3769
Stvarni parovi;0,3767
Stvarni parovi;0,3706
Stvarni parovi;0,369
Stvarni parovi;0,3172
Stvarni parovi;0,3207
Ukrsteni parovi;0,2788
Ukrsteni parovi;0,2638
Stvarni parovi;0,3041
Ukrsteni parovi;0,282
Ukrsteni parovi;0,2379
Stvarni parovi;0,2352
Stvarni parovi;0,2343
Stvarni parovi;0,2318
Ukrsteni parovi;0,231
Stvarni parovi;0,2431
Ukrsteni parovi;0,2247
Ukrsteni parovi;0,2805
Stvarni parovi;0,2195
Stvarni parovi;0,2649
Ukrsteni parovi;0,2426
Stvarni parovi;0,226
Ukrsteni parovi;0,2058
Ukrsteni parovi;0,2093
Ukrsteni parovi;0,2012
Ukrsteni parovi;0,201
Ukrsteni parovi;0,2007
Stvarni parovi;0,2118
Ukrsteni parovi;0,1977
Ukrsteni parovi;0,1979
Ukrsteni parovi;0,251
Ukrsteni parovi;0,2209
Stvarni parovi;0,1949
Ukrsteni parovi;0,2302
Ukrsteni parovi;0,2626
Ukrsteni parovi;0,1927
Ukrsteni parovi;0,1839
Ukrsteni parovi;0,2093
Stvarni parovi;0,1792
Ukrsteni parovi;0,2008
Stvarni parovi;0,1779
Stvarni parovi;0,2232
Ukrsteni parovi;0,1904
Ukrsteni parovi;0,1712
Stvarni parovi;0,2124
Stvarni parovi;0,213
Ukrsteni parovi;0,1908
Ukrsteni parovi;0,1934
Ukrsteni parovi;0,1726
Ukrsteni parovi;0,1702
Stvarni parovi;0,2236
Ukrsteni parovi;0,1969
Stvarni parovi;0,2013
Ukrsteni parovi;0,1642
Ukrsteni parovi;0,2164
Ukrsteni parovi;0,1635
Ukrsteni parovi;0,1634
Ukrsteni parovi;0,1971
Stvarni parovi;0,2133
Stvarni parovi;0,2005
Ukrsteni parovi;0,1584
Ukrsteni parovi;0,1594
Ukrsteni parovi;0,1783
Ukrsteni parovi;0,1957
Ukrsteni parovi;0,2014
Ukrsteni parovi;0,1707
Ukrsteni parovi;0,1903
Ukrsteni parovi;0,1923
Ukrsteni parovi;0,2074
Stvarni parovi;0,2095
Ukrsteni parovi;0,1626
Ukrsteni parovi;0,2058
Ukrsteni parovi;0,1543
Ukrsteni parovi;0,1685
Ukrsteni parovi;0,1736
Ukrsteni parovi;0,1743
Ukrsteni parovi;0,1658
Ukrsteni parovi;0,1837
Ukrsteni parovi;0,1392
Ukrsteni parovi;0,2025
Ukrsteni parovi;0,1683
Stvarni parovi;0,1815
Stvarni parovi;0,1786
Ukrsteni parovi;0,1965
Ukrsteni parovi;0,1264
Ukrsteni parovi;0,1645
Ukrsteni parovi;0,2128
Ukrsteni parovi;0,1924
Ukrsteni parovi;0,1182
Ukrsteni parovi;0,1643
Ukrsteni parovi;0,1408
Ukrsteni parovi;0,1837
Ukrsteni parovi;0,1753
Ukrsteni parovi;0,1758
Ukrsteni parovi;0,1801
Ukrsteni parovi;0,1711
Ukrsteni parovi;0,1651
Ukrsteni parovi;0,1326
Stvarni parovi;0,2063
Ukrsteni parovi;0,1744
Ukrsteni parovi;0,1646
Ukrsteni parovi;0,1559
Ukrsteni parovi;0,2007
Ukrsteni parovi;0,1813
Ukrsteni parovi;0,136
Stvarni parovi;0,1517
Stvarni parovi;0,1534
Ukrsteni parovi;0,1403
Ukrsteni parovi;0,1941
Ukrsteni parovi;0,1552
Ukrsteni parovi;0,1711
Ukrsteni parovi;0,1577
Ukrsteni parovi;0,1249
Ukrsteni parovi;0,0893
Ukrsteni parovi;0,1841
Ukrsteni parovi;0,1339
Ukrsteni parovi;0,141
Ukrsteni parovi;0,1301
Ukrsteni parovi;0,1529
Stvarni parovi;0,1535
Ukrsteni parovi;0,179
Ukrsteni parovi;0,1793
Ukrsteni parovi;0,1273
Ukrsteni parovi;0,1773
Ukrsteni parovi;0,1358
Ukrsteni parovi;0,1652
Ukrsteni parovi;0,1215
Ukrsteni parovi;0,1425
Stvarni parovi;0,1469
Ukrsteni parovi;0,132
Ukrsteni parovi;0,1415
Stvarni parovi;0,1009
Ukrsteni parovi;0,0815
Ukrsteni parovi;0,0793
Ukrsteni parovi;0,0815
Ukrsteni parovi;0,0886
