Kanal;Brend;Tip para;Kosinusna slicnost;Skor
Hannah - The Outfit Repeater;ThredUp;stvarni;0.3769;100.0
Abbey Yung;Function of Beauty;stvarni;0.3767;100.0
Carrie Dayton;ThredUp;stvarni;0.3706;97.88
Hazel Goddesss;Function of Beauty;stvarni;0.369;97.32
Bekah & Co.;Function of Beauty;stvarni;0.3172;79.3
Morgan Donner;ThredUp;stvarni;0.3207;80.51
Hannah Harrell;Function of Beauty;ukrsteni;0.2788;65.94
Mia Maples;Function of Beauty;ukrsteni;0.2638;60.72
Mia Maples;ThredUp;stvarni;0.3041;74.74
TomKat Stitchery;ThredUp;ukrsteni;0.282;67.05
aliyah simone;Function of Beauty;ukrsteni;0.2379;51.7
Kenna;Function of Beauty;stvarni;0.2352;50.77
Doctor Mike;Audible;stvarni;0.2343;50.45
Gibi ASMR;Audible;stvarni;0.2318;49.58
Jenna Hong;Function of Beauty;ukrsteni;0.231;49.3
Dr Dray;Function of Beauty;stvarni;0.2431;53.51
Carrie Dayton;Function of Beauty;ukrsteni;0.2247;47.11
Plant Based Bride;Audible;ukrsteni;0.2805;66.53
Dong ASMR;Audible;stvarni;0.2195;45.3
The Bite Shot;Skillshare;stvarni;0.2649;61.1
Jenna Hong;ThredUp;ukrsteni;0.2426;53.34
Sailing La Vagabonde;Audible;stvarni;0.226;47.56
Katnipp;Function of Beauty;ukrsteni;0.2058;40.54
Carrie Dayton;Audible;ukrsteni;0.2093;41.75
TomKat Stitchery;Function of Beauty;ukrsteni;0.2012;38.94
Emma Chamberlain;Function of Beauty;ukrsteni;0.201;38.87
Primink;Audible;ukrsteni;0.2007;38.76
Strange Parts;Audible;stvarni;0.2118;42.62
Dr Dray;Audible;ukrsteni;0.1977;37.72
aliyah simone;Audible;ukrsteni;0.1979;37.79
Danielle Kirsty;Function of Beauty;ukrsteni;0.251;56.26
Mia Maples;Audible;ukrsteni;0.2209;45.79
Anjeez;Function of Beauty;stvarni;0.1949;36.74
Jazza;Skillshare;ukrsteni;0.2302;49.03
Abby Cox;ThredUp;ukrsteni;0.2626;60.3
Anjeez;Audible;ukrsteni;0.1927;35.98
Morgan Donner;Function of Beauty;ukrsteni;0.1839;32.92
Ellen Fisher;Function of Beauty;ukrsteni;0.2093;41.75
Danielle Kirsty;Audible;stvarni;0.1792;31.28
Katnipp;ThredUp;ukrsteni;0.2008;38.8
Abby Cox;Function of Beauty;stvarni;0.1779;30.83
Katnipp;Skillshare;stvarni;0.2232;46.59
Jenna Hong;Audible;ukrsteni;0.1904;35.18
The Bite Shot;Audible;ukrsteni;0.1712;28.5
Jazza;Audible;stvarni;0.2124;42.83
Jenna Hong;Skillshare;stvarni;0.213;43.04
Hannah Harrell;Audible;ukrsteni;0.1908;35.32
REGRETLYSS;Audible;ukrsteni;0.1934;36.22
Abby Cox;Audible;ukrsteni;0.1726;28.98
Irene Rudnyk;Function of Beauty;ukrsteni;0.1702;28.15
Hannah Harrell;ThredUp;stvarni;0.2236;46.73
Bekah & Co.;Skillshare;ukrsteni;0.1969;37.44
KianAndJc;Audible;stvarni;0.2013;38.97
Rachel Maksy;Function of Beauty;ukrsteni;0.1642;26.06
Mia Maples;Skillshare;ukrsteni;0.2164;44.22
The Bite Shot;Function of Beauty;ukrsteni;0.1635;25.82
Hannah - The Outfit Repeater;Function of Beauty;ukrsteni;0.1634;25.78
Ellen Fisher;Audible;ukrsteni;0.1971;37.51
Irene Rudnyk;Skillshare;stvarni;0.2133;43.15
Rachel Maksy;ThredUp;stvarni;0.2005;38.69
Rachel Maksy;Audible;ukrsteni;0.1584;24.04
Kenna;Audible;ukrsteni;0.1594;24.39
Emma Chamberlain;Audible;ukrsteni;0.1783;30.97
Gibi ASMR;Skillshare;ukrsteni;0.1957;37.02
Strange Parts;Skillshare;ukrsteni;0.2014;39.0
Katnipp;Audible;ukrsteni;0.1707;28.32
Primink;Function of Beauty;ukrsteni;0.1903;35.14
Gibi ASMR;Function of Beauty;ukrsteni;0.1923;35.84
Ellen Fisher;Skillshare;ukrsteni;0.2074;41.09
aliyah simone;Skillshare;stvarni;0.2095;41.82
Morgan Donner;Audible;ukrsteni;0.1626;25.5
Kenna;Skillshare;ukrsteni;0.2058;40.54
Hannah - The Outfit Repeater;Audible;ukrsteni;0.1543;22.62
Eric Rosen;Skillshare;ukrsteni;0.1685;27.56
Strange Parts;Function of Beauty;ukrsteni;0.1736;29.33
